Track_name,Artist,Popularity,Album_name,Album_release_year,Genre,Key
Torn - KREAM Remix,Ava Max,60,Torn (KREAM Remix),2019,pop,0
Quite Miss Home - Steve Void Remix,James Arthur,60,Quite Miss Home (Steve Void Remix),2019,pop,10
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,Love Me Less (Remixes),2019,pop,1
Happier - Matt Medved Remix,Marshmello,59,Happier (Remixes Pt. 2),2018,pop,5
Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,Side Effects - Remixes,2018,pop,0
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019,pop,2
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,Paradise (Bazzi vs. Black Caviar Remix),2019,pop,11
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,White Mercedes (EDX's Miami Sunset Remix),2019,pop,5
Higher Love,Kygo,87,Higher Love,2019,pop,8
Unlove You,Armin van Buuren,62,Unlove You,2019,pop,3
bad guy (with Justin Bieber),Billie Eilish,83,bad guy (with Justin Bieber),2019,pop,0
Freaking Me Out - Keanu Silva Remix,Ava Max,55,Freaking Me Out (Keanu Silva Remix),2019,pop,1
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,Heaven Can Wait (The Aston Shuffle Remix),2019,pop,5
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,When It Comes To You (Remixes),2019,pop,10
Gone - The Wild Remix,Charli XCX,57,Gone (The Wild Remix),2019,pop,6
American Boy - Brooks Remix,Estelle,56,American Boy (Brooks Remix),2019,pop,5
Million Pieces - M-22 Remix,Bastille,53,Million Pieces (M-22 Remix),2019,pop,4
joy. (R3HAB Remix),for KING & COUNTRY,56,joy. (R3HAB Remix),2019,pop,0
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,Crash Into Me (Settle Down Steavis Aoki Remix),2019,pop,1
Old Town Road - Diplo Remix,Lil Nas X,74,Old Town Road (Diplo Remix),2019,pop,6
Lovers + Strangers - GATTÜSO Remix,Starley,46,Lovers + Strangers (GATTÜSO Remix),2019,pop,10
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,Promises (with Sam Smith) [Remixes],2018,pop,3
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019,pop,5
What Am I - SONDR Remix,Why Don't We,52,What Am I (SONDR Remix),2019,pop,0
Cool Kids,Olympis,67,Cool Kids,2019,pop,8
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019,pop,6
All Star - Breathe Carolina Remix,Smash Mouth,60,All Star (Breathe Carolina Remix),2019,pop,3
Trampoline - Dave Audé Remix,SHAED,45,Melt (Deluxe),2019,pop,7
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019,pop,9
With You - Dexter Remix,Kaskade,51,With You - The Remixes,2019,pop,1
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019,pop,5
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018,pop,2
Talk - Disclosure VIP,Khalid,60,Talk (Disclosure VIP),2019,pop,4
Spicy - Majestic Remix,Herve Pagez,48,Spicy (with Diplo & Charli XCX) [Remixes],2019,pop,11
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019,pop,8
Treehouse - R3HAB Remix,James Arthur,56,Treehouse (R3HAB Remix),2019,pop,6
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2018,pop,6
Call You Mine,The Chainsmokers,39,World War Joy,2019,pop,7
Post Malone (feat. RANI),Sam Feldt,83,Magnets EP,2019,pop,7
Here With Me,Marshmello,83,Here With Me,2019,pop,5
Easier - Seeb Remix,5 Seconds of Summer,71,Easier (Seeb Remix),2019,pop,5
Sixteen,Ellie Goulding,81,Sixteen,2019,pop,8
Never Really Over,Katy Perry,85,Never Really Over,2019,pop,8
All You Need To Know (feat. Calle Lehmann),Gryffin,76,All You Need To Know (feat. Calle Lehmann),2019,pop,0
I Miss Myself (with HRVY),NOTD,71,I Miss Myself (with HRVY),2019,pop,0
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019,pop,5
Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019,pop,3
All the Time,Zara Larsson,74,All the Time,2019,pop,6
What I Like About You (feat. Theresa Rex),Jonas Blue,81,What I Like About You (feat. Theresa Rex),2019,pop,1
With You,Kaskade,71,With You,2019,pop,1
Body Back (feat. Maia Wright),Gryffin,75,Body Back (feat. Maia Wright),2019,pop,8
Not Ok,Kygo,73,Not Ok,2019,pop,11
Ruin My Life,Zara Larsson,79,Ruin My Life,2018,pop,11
I Wanna Know (feat. Bea Miller),NOTD,74,I Wanna Know (feat. Bea Miller),2018,pop,6
Better With You,3LAU,63,Better With You,2019,pop,3
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019,pop,9
Polaroid,Jonas Blue,16,Blue,2018,pop,7
Lost In Japan - Remix,Shawn Mendes,75,Lost In Japan (Remix),2018,pop,10
In Your Arms (with X Ambassadors),ILLENIUM,75,ASCEND,2019,pop,2
I'm Not Alright,Loud Luxury,55,I'm Not Alright,2019,pop,4
SOS,Avicii,30,SOS,2019,pop,5
Harder,Jax Jones,62,Snacks,2019,pop,5
The Middle,Zedd,84,The Middle,2018,pop,7
Wanted,NOTD,70,Wanted,2019,pop,5
Crash Into Me,Steve Aoki,37,Crash Into Me,2019,pop,1
Need Your Love (with Noah Kahan),Gryffin,70,Gravity,2019,pop,0
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,Good Things Fall Apart (with Jon Bellion),2019,pop,2
Don't Call Me Up,Mabel,85,Ivy To Roses (Mixtape),2019,pop,9
Nostalgic,A R I Z O N A,36,Nostalgic,2019,pop,0
Let It Be Me,Steve Aoki,52,Let It Be Me,2019,pop,7
Lovers + Strangers,Starley,58,Lovers + Strangers,2019,pop,1
Sad Song (feat. TINI),Alesso,72,Sad Song (feat. TINI),2019,pop,0
Sleepless Nights,ayokay,64,In the Shape of a Dream,2018,pop,11
Save Me Tonight,ARTY,63,Save Me Tonight,2019,pop,5
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,Pretty Girl (Cheat Codes X CADE Remix),2017,pop,7
No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2019,pop,11
Feel Good (feat. Daya),Gryffin,74,Feel Good (feat. Daya),2017,pop,2
Endless Summer,Cashae,56,Endless Summer,2019,pop,4
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,Faith (with Dolly Parton) [feat. Mr. Probz],2019,pop,8
Think About You,Kygo,71,Think About You,2019,pop,10
Party For One,Carly Rae Jepsen,64,Dedicated,2019,pop,6
Ritual,Tiësto,82,Ritual,2019,pop,3
Electricity (with Dua Lipa),Silk City,81,Electricity (with Dua Lipa),2018,pop,0
Lie,Shallou,41,Lie,2018,pop,2
I Found You (with Calvin Harris),benny blanco,62,FRIENDS KEEP SECRETS,2018,pop,6
Now That I Found You,Carly Rae Jepsen,5,Now That I Found You / No Drug Like Me,2019,pop,0
All Comes Back To You,R3HAB,72,All Comes Back To You,2019,pop,4
Need U,DVBBS,24,Need U,2019,pop,10
First Love,Lost Kings,58,First Love,2017,pop,5
Something Real,Armin van Buuren,65,Something Real,2019,pop,1
TIME,Alesso,64,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019,pop,5
Something About You (with Rudimental),Elderbrook,53,Distinction EP,2019,pop,6
Home (feat. Bonn),Martin Garrix,72,Home (feat. Bonn),2019,pop,8
Simple (STVW Remix),FANNYPACK,39,Simple (STVW Remix),2019,pop,9
Sorry,Joel Corry,75,Sorry,2019,pop,8
Spicy (with Diplo & Charli XCX),Herve Pagez,60,Spicy (with Diplo & Charli XCX),2019,pop,8
The Upside (feat. Elle King),Lindsey Stirling,18,The Upside (feat. Elle King) / The Upside / Underground,2019,pop,2
Stay,Zedd,79,Stay,2017,pop,5
Million Voices,Armin van Buuren,60,Balance,2019,pop,3
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018,pop,8
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),2016,pop,8
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,Say My Name Remixes,2014,pop,9
Clarity,Zedd,74,Clarity,2012,pop,8
Solo (feat. Demi Lovato),Clean Bandit,80,Solo (feat. Demi Lovato),2018,pop,11
Scared to Be Lonely,Martin Garrix,81,Scared to Be Lonely,2017,pop,1
Friends (with BloodPop®),Justin Bieber,76,Friends (with BloodPop®),2017,pop,8
RITMO (Bad Boys For Life),The Black Eyed Peas,96,RITMO (Bad Boys For Life),2019,pop,10
Promises (with Sam Smith),Calvin Harris,84,Promises (with Sam Smith),2018,pop,11
Turn Me On (feat. Vula),Riton,86,Turn Me On (feat. Vula),2019,pop,11
Light,San Holo,68,Light,2017,pop,1
2U,David Guetta,66,2U,2017,pop,8
Something Just Like This,The Chainsmokers,83,Memories...Do Not Open,2017,pop,11
One Kiss (with Dua Lipa),Calvin Harris,85,One Kiss (with Dua Lipa),2018,pop,9
Heroes (we could be),Alesso,73,Forever,2015,pop,5
It Ain’t Me (with Selena Gomez),Kygo,69,It Ain't Me,2017,pop,0
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,R.E.D. (Deluxe Edition),2012,pop,5
Let Me Love You,DJ Snake,81,Encore,2016,pop,8
Roses,The Chainsmokers,73,Roses,2015,pop,4
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,Clarity (Deluxe),2012,pop,8
Latch,Disclosure,19,Settle,2013,pop,1
Flames,David Guetta,57,7,2018,pop,5
Sorry,Justin Bieber,81,Purpose (Deluxe),2015,pop,0
This Is What You Came For,Calvin Harris,79,This Is What You Came For,2016,pop,9
Wake Me Up,Avicii,84,True,2013,pop,2
In My Mind,Dynoro,84,In My Mind,2018,pop,6
Titanium (feat. Sia),David Guetta,66,Nothing but the Beat 2.0,2011,pop,0
Where Are Ü Now,Skrillex,8,Purpose (Deluxe),2015,pop,7
Firework,Katy Perry,64,Teenage Dream,2010,pop,8
Mi Gente (feat. Beyoncé),J Balvin,61,Mi Gente (feat. Beyoncé),2017,pop,11
Don't You Worry Child - Radio Edit,Swedish House Mafia,27,Until Now,2012,pop,11
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,TROLLS (Original Motion Picture Soundtrack),2016,pop,0
Anything Could Happen,Ellie Goulding,57,Halcyon,2012,pop,0
Poker Face,Lady Gaga,69,The Fame,2008,pop,4
How Deep Is Your Love,Calvin Harris,77,How Deep Is Your Love,2015,pop,11
In Your Eyes (feat. Alida),Robin Schulz,74,In Your Eyes (feat. Alida),2020,pop,8
Wish You Well (with Sigala),Sigala,5,Get To Know,2019,pop,5
With You - LöKii Remix,Kaskade,57,With You - The Remixes,2019,pop,9
Dive,Hot Shade,68,Dive,2019,pop,4
No Goodbye,Paul Kalkbrenner,65,No Goodbye,2019,pop,6
Work,MOTi,58,Work,2019,pop,0
Instagram,Dimitri Vegas & Like Mike,81,Instagram,2019,pop,8
Better Off Without You (feat. Shift K3Y),Becky Hill,68,Better Off Without You (feat. Shift K3Y),2020,pop,7
Butterfly,Molella,43,Butterfly,2019,pop,7
All The Love You Got,MOTi,57,All The Love You Got,2019,pop,7
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,Call You Mine - The Remixes,2019,pop,7
Love Is Not Enough,GATTÜSO,58,Love Is Not Enough,2019,pop,8
Lose Control,MEDUZA,91,Lose Control,2019,pop,10
I Wanna Dance,Jonas Blue,67,I Wanna Dance,2019,pop,0
After The Landslide - Club Remix,Matt Simons,42,After The Landslide (Remix),2019,pop,6
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,70,Midnight Hour with Boys Noize & Ty Dolla $ign,2019,pop,0
Pon de Replay,Ed Marquis,64,Pon de Replay,2017,pop,6
So Close,NOTD,79,So Close (feat. Georgia Ku),2018,pop,10
Look Into My Eyes,Brando,48,Look Into My Eyes,2020,pop,1
Not in Control,Glaceo,53,Not in Control,2019,pop,0
BLUE,Tiësto,75,BLUE,2019,pop,11
Don't Waste My Time,Kharfi,46,Don't Waste My Time,2019,pop,9
Beat Of My Heart,Lost Frequencies,67,Alive And Feeling Fine,2019,pop,6
Don't Start Now - Kungs Remix,Dua Lipa,65,Don't Start Now (Kungs Remix),2019,pop,11
Drunken Truth,Steve Void,56,The Seed EP,2019,pop,1
Jacques,Jax Jones,42,Jacques,2019,pop,9
Something Real,Armin van Buuren,58,Balance,2019,pop,1
Stay (Don't Go Away) [feat. Raye],David Guetta,74,Stay (Don't Go Away) [feat. Raye],2019,pop,9
Solid Gold,PNAU,65,Solid Gold,2019,pop,5
One Life,Mike Perry,64,One Life,2019,pop,3
All ‘Bout The Money,FAULHABER,51,All ‘Bout The Money,2019,pop,6
Never Letting Go,Audien,63,Never Letting Go,2018,pop,1
Used To Love (with Dean Lewis),Martin Garrix,83,Used To Love (with Dean Lewis),2019,pop,4
Giulia,Prince Paris,55,Giulia,2019,pop,0
What Do I Do? - Benny Benassi Remix,Georgia Ku,39,What Do I Do? (Benny Benassi Remix),2019,pop,10
Dreams Of You (feat. Rae Morris),Icarus,48,Dreams Of You (feat. Rae Morris),2019,pop,6
I Will Let You Down (feat. KLARA),Madison Mars,59,I Will Let You Down (feat. KLARA),2019,pop,0
Carillon (with Achille Lauro),Nahaze,64,Carillon (with Achille Lauro),2019,pop,9
La Vie - Gabry Ponte Mix,DJ Ross,42,La Vie (Gabry Ponte Mix),2019,pop,4
Lullaby,R3HAB,70,Lullaby,2018,pop,1
Say It,Phantoms,57,Disconnect,2019,pop,11
All This Time,Deorro,21,All This Time,2019,pop,2
All You Need To Know (feat. Calle Lehmann),Gryffin,68,Gravity,2019,pop,0
Acordeão,Tiësto,63,Acordeão,2019,pop,1
My Friend,Yves V,54,My Friend,2019,pop,2
On & On,Alok,79,On & On,2019,pop,10
Juliet & Romeo,Martin Solveig,72,Juliet & Romeo,2019,pop,11
All Around The World (La La La),R3HAB,80,All Around The World (La La La),2019,pop,9
Are You Lonely (feat. ISÁK),Steve Aoki,47,Are You Lonely (feat. ISÁK),2019,pop,6
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,19,No More (feat. Brenda Mullen) [Bottai Edit],2019,pop,4
Close Your Eyes,Felix Jaehn,79,Close Your Eyes,2019,pop,11
Buzzing (with Nevve),Audien,59,Escapism,2019,pop,7
Never Be Alone (feat. Aloe Blacc),David Guetta,68,Never Be Alone (feat. Aloe Blacc),2019,pop,6
Roses - Imanbek Remix,SAINt JHN,72,Roses (Imanbek Remix),2019,pop,8
Insane,Ofenbach,66,Insane,2019,pop,4
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,59,Daydreams (Sultan + Shepard Echoes Of Life Remix),2020,pop,1
Only Want You - Sam Feldt Remix,Rita Ora,64,Only Want You (Sam Feldt Remix),2019,pop,9
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,9,Close To Me (Remixes),2019,pop,1
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,41,Woke Up Late (Sam Feldt Remix),2019,pop,0
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],2019,pop,2
Not Ok - Frank Walker Remix,Kygo,66,Not Ok (Frank Walker Remix),2019,pop,2
Heaven (feat. Veronica),Dzeko,68,Heaven (feat. Veronica),2019,pop,0
Sixteen - Don Diablo Remix,Ellie Goulding,66,Sixteen (Don Diablo Remix),2019,pop,5
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,63,Don’t Give Up On Me Now (with Julie Bergan),2019,pop,4
Brave,Don Diablo,68,Brave,2019,pop,6
Let It Be Me,Steve Aoki,23,Let It Be Me,2019,pop,7
Carry On - Nicky Romero Remix,Kygo,67,Carry On (Nicky Romero Remix),2019,pop,9
Magnets (feat. Sophie Simmons),Sam Feldt,62,Magnets (feat. Sophie Simmons),2019,pop,5
Don't Give Up On Me,Andy Grammer,9,Don't Give Up On Me (with R3HAB),2019,pop,3
Found Love (feat. Lovespeake),MOTi,59,Found Love (feat. Lovespeake),2019,pop,8
These Are The Times (feat. JRM),Martin Garrix,71,These Are The Times (feat. JRM),2019,pop,4
Wherever You Go,Jonas Blue,21,Blue,2018,pop,7
Happy Now,Kygo,81,Happy Now,2018,pop,9
Roots,Valerie Broussard,69,Roots,2019,pop,7
Talk - Alle Farben Remix,Khalid,56,Talk (Alle Farben Remix),2019,pop,9
All The Lies - Toby Romeo Remix / Radio Edit,Alok,56,All The Lies (Remixes),2019,pop,6
High Hopes - Don Diablo Remix,Panic! At The Disco,60,High Hopes (Don Diablo Remix),2019,pop,5
Summer Air (feat. Trevor Guthrie),Hardwell,40,Summer Air (feat. Trevor Guthrie),2019,pop,4
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,57,Can We Pretend (feat. Cash Cash) [Sigala Remix],2019,pop,1
Bruises - Steve Void Remix,Lewis Capaldi,70,Bruises EP,2019,pop,9
Insomnia - King Arthur Remix,Daya,63,Insomnia (King Arthur Remix),2019,pop,4
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,65,Don't Worry Bout Me (Rudimental Remix),2019,pop,5
I Miss Myself - R3HAB Remix,NOTD,56,I Miss Myself (R3HAB Remix),2019,pop,0
8 Letters - R3HAB Remix,Why Don't We,2,8 Letters (R3HAB Remix),2018,pop,1
You Deserve Better - Andrelli Remix,James Arthur,53,You Deserve Better (Andrelli Remix),2018,pop,6
Remember (with ZOHARA),Gryffin,11,Remember (with ZOHARA),2018,pop,11
REMEDY,Alesso,77,REMEDY,2018,pop,0
Leave,Borgeous,56,Leave,2019,pop,11
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,65,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],2019,pop,1
I'm Not Sorry,Hardwell,34,I'm Not Sorry,2019,pop,4
Tequila - Robin Schulz Remix,Dan + Shay,54,Tequila (Robin Schulz Remix),2019,pop,11
Happier - Frank Walker Remix,Marshmello,51,Happier (Remixes),2018,pop,5
Sing It With Me - Embody Remix,JP Cooper,50,Sing It With Me (Embody Remix),2019,pop,5
Thursday - Nicky Romero Remix,Jess Glynne,52,Thursday (Nicky Romero Remix),2018,pop,11
Better When You're Gone,David Guetta,76,Better When You're Gone,2019,pop,1
Wish You Well,Sigala,75,Wish You Well,2019,pop,5
Only When It Rains,Frank Walker,52,Only When It Rains,2019,pop,11
Mad Love - Blinkie Remix,Mabel,62,Mad Love (Remixes),2019,pop,0
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,65,Sweet but Psycho (Remixes),2018,pop,1
Better Day (feat. Aloe Blacc),Young Bombs,62,Better Day (feat. Aloe Blacc),2019,pop,9
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,10,Rescue Me (with BUNT.) [BUNT. Remix],2019,pop,11
Discovery,Syn Cole,55,Discovery,2019,pop,0
With You - Frank Walker Remix,Tyler Shaw,49,With You (Frank Walker Remix),2019,pop,2
2 Hearts (feat. Gia Koka),Sam Feldt,70,2 Hearts (feat. Gia Koka),2020,pop,7
Love You Forever,Nicky Romero,61,Love You Forever,2019,pop,6
Post Malone (feat. RANI),Sam Feldt,75,Post Malone (feat. RANI) [Joe Stone Remix],2019,pop,7
Thorns,Faustix,60,Thorns,2019,pop,4
Shotgun (The Wild Remix),George Ezra,63,Shotgun (The Wild Remix),2018,pop,5
True Colors (feat. Maya Avedis),XO Cupid,73,True Colors (feat. Maya Avedis),2018,pop,0
Crying In The Sun,Faustix,60,Crying In The Sun (Remixes),2018,pop,11
Need You,Faustix,62,Need You,2019,pop,7
Sweet Dreams (Are Made of This),Winati,67,Sweet Dreams (are Made of This),2019,pop,9
Million Lights,Tungevaag & Raaban,61,Million Lights,2019,pop,0
Dancing in the Moonlight,Jubël,71,Dancing in the Moonlight,2018,pop,11
Heaven,Avicii,80,TIM,2019,pop,9
Forever Young,John De Sohn,68,Forever Young,2018,pop,8
eoh,Olympis,60,eoh,2019,pop,5
Nobody,Martin Jensen,66,Nobody,2019,pop,6
All Day And Night,Jax Jones,75,Snacks,2019,pop,1
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,58,There's No Way (remixes),2018,pop,11
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,74,Whenever (feat. Conor Maynard),2018,pop,7
All For Love,Tungevaag & Raaban,68,All For Love,2018,pop,7
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,72,Bittersweet Symphony (feat. Emily Roberts),2019,pop,9
One Touch,Jess Glynne,70,Always in Between (Deluxe),2018,pop,0
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,58,"fuck, i’m lonely (with Anne-Marie) (Ofenbach Remix)",2019,pop,9
Be Your Friend‬‬,Vigiland,67,Be Your Friend,2018,pop,0
Happier - Breathe Carolina Remix,Marshmello,62,Happier (Remixes),2018,pop,0
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,56,Woke Up Late (feat. Hailee Steinfeld) [Sam Feldt Remix],2019,pop,0
Just Got Paid,Sigala,65,Brighter Days,2018,pop,6
No One - Jonas Blue Remix,Jess Glynne,51,No One (Jonas Blue Remix),2019,pop,11
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,54,Speechless (feat. Erika Sirola) [MOTi Remix],2019,pop,1
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,61,Close To Me (Remixes),2019,pop,1
Darkside,Alan Walker,76,Different World,2018,pop,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,83,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019,pop,5
Body (feat. brando),Loud Luxury,63,Body (feat. brando),2017,pop,1
Who's Got Your Love,Cheat Codes,70,Who's Got Your Love,2019,pop,11
Never Go Back - Robin Schulz Remix,Dennis Lloyd,70,Never Go Back (Remixes),2019,pop,9
Pumped Up,Klingande,56,Pumped Up,2017,pop,0
California,Hot Shade,65,California,2018,pop,7
Solo Dance,Martin Jensen,61,Solo Dance,2016,pop,9
Replay,Davai,60,Replay,2017,pop,6
Think About You - Galantis Remix,Kygo,63,Think About You (Galantis Remix),2019,pop,10
Love No More,Loud Luxury,54,Love No More,2018,pop,0
All Falls Down (feat. Juliander),Alan Walker,70,Different World,2018,pop,1
Lonely Together (feat. Rita Ora),Avicii,6,Phoenix (Deluxe Edition),2018,pop,5
Remind Me to Forget,Kygo,70,Kids in Love,2017,pop,0
